Source,Target,Distance
Pantitlan,Zaragoza,1320.0
Pantitlan,Hangares,1644.0
Pantitlan,Puebla,1380.0
Pantitlan,AgricolaOriental,1409.0
Zaragoza,Pantitlan,1320.0
Zaragoza,GomezFarias,762.0
GomezFarias,Zaragoza,762.0
GomezFarias,BlvdPuertoAereo,611.0
BlvdPuertoAereo,GomezFarias,611.0
BlvdPuertoAereo,Balbuena,595.0
Balbuena,BlvdPuertoAereo,595.0
Balbuena,Moctezuma,703.0
Moctezuma,Balbuena,703.0
Moctezuma,SanLazaro,478.0
SanLazaro,Moctezuma,478.0
SanLazaro,Candelaria,866.0
SanLazaro,Morelos,1296.0
SanLazaro,RcardoFloresMagon,907.0
Candelaria,SanLazaro,866.0
Candelaria,Merced,698.0
Candelaria,FrayServando,633.0
Candelaria,Morelos,1062.0
Merced,Candelaria,698.0
Merced,PinoSuarez,745.0
PinoSuarez,Merced,745.0
PinoSuarez,IsabellaCatolica,382.0
PinoSuarez,Zocalo,745.0
PinoSuarez,SanAntonioAbad,817.0
IsabellaCatolica,PinoSuarez,382.0
IsabellaCatolica,SaltodelAgua,445.0
SaltodelAgua,IsabellaCatolica,445.0
SaltodelAgua,Balderas,458.0
SaltodelAgua,SanJuandeLetran,292.0
SaltodelAgua,Doctores,564.0
Balderas,SaltodelAgua,458.0
Balderas,Cuauhtemoc,409.0
Balderas,Juarez,659.0
Balderas,NinosHeroes,665.0
Cuauhtemoc,Balderas,409.0
Cuauhtemoc,Insurgentes,793.0
Insurgentes,Cuauhtemoc,793.0
Insurgentes,Sevilla,645.0
Sevilla,Insurgentes,645.0
Sevilla,Chapultepec,501.0
Chapultepec,Sevilla,501.0
Chapultepec,Juanacatlan,973.0
Juanacatlan,Chapultepec,973.0
Juanacatlan,Tacubaya,1158.0
Tacubaya,Juanacatlan,1158.0
Tacubaya,Constituyentes,1005.0
Tacubaya,SanPedrodelosPinos,1084.0
Tacubaya,Patriotismo,1133.0
Tacubaya,Observatorio,1262.0
CuatroCaminos,Panteones,1639.0
Panteones,CuatroCaminos,1639.0
Panteones,Tacuba,1416.0
Tacuba,Panteones,1416.0
Tacuba,Cuitlahuac,637.0
Tacuba,Refineria,1295.0
Tacuba,SanJoaquin,1433.0
Cuitlahuac,Tacuba,637.0
Cuitlahuac,Popotla,620.0
Popotla,Cuitlahuac,620.0
Popotla,ColegioMilitar,462.0
ColegioMilitar,Popotla,462.0
ColegioMilitar,Normal,516.0
Normal,ColegioMilitar,516.0
Normal,SanCosme,657.0
SanCosme,Normal,657.0
SanCosme,Revolucion,537.0
Revolucion,SanCosme,537.0
Revolucion,Hidalgo,587.0
Hidalgo,Revolucion,587.0
Hidalgo,BellasArtes,447.0
Hidalgo,Guerrero,702.0
Hidalgo,Juarez,251.0
BellasArtes,Hidalgo,447.0
BellasArtes,Allende,387.0
BellasArtes,Garibaldi,634.0
BellasArtes,SanJuandeLetran,456.0
Allende,BellasArtes,387.0
Allende,Zocalo,602.0
Zocalo,PinoSuarez,745.0
Zocalo,Allende,602.0
SanAntonioAbad,PinoSuarez,817.0
SanAntonioAbad,Chabacano,642.0
Chabacano,SanAntonioAbad,642.0
Chabacano,Viaducto,774.0
Chabacano,Jamaica,1031.0
Chabacano,Obrera,1143.0
Chabacano,LaViga,843.0
Chabacano,LazaroCardenas,1000.0
Viaducto,Chabacano,774.0
Viaducto,Xola,490.0
Xola,Viaducto,490.0
Xola,VilladeCortes,698.0
VilladeCortes,Xola,698.0
VilladeCortes,Nativitas,750.0
Nativitas,VilladeCortes,750.0
Nativitas,Portales,924.0
Portales,Nativitas,924.0
Portales,Ermita,748.0
Ermita,Portales,748.0
Ermita,GeneralAnaya,838.0
Ermita,Mexicaltzingo,1805.0
Ermita,EjeCentral,895.0
GeneralAnaya,Ermita,838.0
GeneralAnaya,Tasquena,1330.0
